,group,variable,month,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS FUERA,ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,1,0,2,0,3
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,11,10,2,4,27
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,13,16,3,0,32
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,12,13,5,5,35
ALALAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,0,0,0,1,1
ALCALA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,1,1,2,0,4
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,9,7,1,0,17
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,7,7,2,3,19
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,1,1,2,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,0,1,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,5,4,3,0,12
APOLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,10,8,5,5,28
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,1,0,1,1,3
ARANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,10,3,0,1,14
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,13,19,2,1,35
ARQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,3,10,2,1,16
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,19,36,0,2,57
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,9,9,1,4,23
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,0,1,0,0,1
AYATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,1,2,2,1,6
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,4,3,0,0,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,6,9,2,8,25
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,4,3,1,4,12
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,9,10,3,2,24
BAURES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,4,7,0,0,11
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,0,1,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,0,0,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2019-01-01,5,1,2,0,8
