,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
CAJUATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,1,2
CHALLAPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,1,1
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,1,1
COCAPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,2,4,6
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,2,1,3
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,5,4,9
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,4,6,10
ENTRE RIOS TRJ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,2,3
GUANAY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,1,2
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,4,5
MAPIRI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,1,2
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
POCONA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,2,3
POJO (CBBA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,2,2
PRESTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,2,3
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,1,1
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,3,3
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,2,1,3
SAN CARLOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,8,14,22
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,3,3
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2018-01-01,0,1,1
