,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,0,1,1
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,1,4,5
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,3,5
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,6,3,9
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,1,3
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,11,4,15
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,1,2,3
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,0,3,3
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,0,2,2
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,4,6,10
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,0,1,1
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,6,1,7
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,1,4,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,9,8,17
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,1,2,3
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,5,2,7
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,1,0,1
AYO AYO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,7,7,14
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,1,5,6
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,1,3
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,10,5,15
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,5,7,12
BOLPEBRA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,1,0,1
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,0,2
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,10,7,17
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,9,10,19
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,1,3
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,0,2
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,0,1,1
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,2,4
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,5,5,10
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,0,1,1
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,16,8,24
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,9,4,13
CAQUIAVIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,0,1,1
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,2,4
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,66,33,99
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,8,7,15
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,2,1,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,5,5,10
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,12,6,18
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,3,3,6
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2018-01-01,8,10,18
