,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-01-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-03-01,1,1,2
VILLA MONTES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-03-01,0,1,1
BUENA VISTA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,1,0,1
CHIMORE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,0,1,1
ORURO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,0,1,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-04-01,0,1,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,0,1,1
CHIMORE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,0,0,0
ORURO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,0,1,1
SAN CARLOS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-06-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-06-01,0,1,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-06-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-07-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-07-01,1,0,1
LURIBAY,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-07-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-08-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-08-01,1,2,3
