,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AYATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,0,2
CARACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,3,7,10
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
CHALLAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,3,1,4
COMARAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,11,5,16
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,1,3
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,4,0,4
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,3,3,6
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,4,2,6
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,0,2
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,8,2,10
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
PALCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,3,5
RAQAYPAMPA(ETA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,2,4
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,4,4,8
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,0,2
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,48,44,92
