,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-01-01,4,4,8
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-01-01,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-02-01,3,1,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-02-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-03-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-03-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-03-01,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-04-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-04-01,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-05-01,2,2,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-05-01,0,0,0
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-05-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-06-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-07-01,3,1,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-07-01,1,3,4
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-08-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-08-01,4,1,5
SAN JAVIER(BNI),tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-08-01,6,0,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-08-01,1,3,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-09-01,1,2,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-10-01,4,1,5
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-10-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-10-01,3,1,4
BOLPEBRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-11-01,12,0,12
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-11-01,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-11-01,3,0,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-12-01,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-12-01,0,0,0
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2018-12-01,0,1,1
