,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,3,3,6
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,2,0,2
MAPIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,2,0,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,1,0,1
PUNATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,4,0,4
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,5,2,7
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,2,1,3
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,2,1,3
PRESTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,4,0,4
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-03-01,6,2,8
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-03-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-03-01,1,0,1
MINEROS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-03-01,1,0,1
PORTACHUELO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-03-01,10,1,11
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-03-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,9,2,11
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,1,2,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,4,3,7
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,2,0,2
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,1,0,1
