,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,3,1,4
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,2,3,5
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,4,1,5
LLALLAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,1,2
PUCARANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,0,1
SAN ANDRES,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,2,4,6
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,3,1,4
VINTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,2,0,2
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-01-01,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,2,3,5
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,2,6,8
MAIRANA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,1,1,2
OKINAWA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,2,0,2
PALCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,1,0,1
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,2,3,5
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,3,2,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,4,6,10
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,0,1,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,1,0,1
YOTALA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-03-01,3,2,5
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-03-01,3,1,4
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-03-01,2,0,2
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2018-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2018-03-01,0,1,1
