,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-01-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-01-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,3,3,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,1,2,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,1,0,1
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-04-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-05-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-05-01,0,1,1
SAN PEDRO(PND),tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-06-01,4,0,4
ICHOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-08-01,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-08-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-10-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-10-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-10-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-11-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-11-01,1,1,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-12-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-12-01,0,0,0
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2018-12-01,2,3,5
