,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,0,1,1
ACHOCALLA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,14,5,19
CONCEPCION,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,2,0,2
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,6,5,11
EUCALIPTUS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,9,6,15
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,4,1,5
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,3,2,5
PRESTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,0,1,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,2,0,2
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,15,6,21
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,3,2,5
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,0,2,2
UYUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,1,1,2
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-01-01,4,0,4
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-02-01,2,0,2
CARAPARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-02-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2018-02-01,1,1,2
