,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,5,0,5
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,2,2
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,3,5,8
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,3,5
COCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,26,18,44
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,1,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,2,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,3,1,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,17,15,32
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,4,6
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,5,6
EUCALIPTUS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,3,0,3
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,1,3
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,4,3,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,5,1,6
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,29,13,42
LAS CARRERAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,1,2
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,3,0,3
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
