,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,0,1,1
AIQUILE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,0,1,1
ARQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,5,0,5
BOYUIBE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,2,0,2
CAMARGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,7,3,10
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,2,0,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,0,1,1
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,2,1,3
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,3,3,6
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,26,10,36
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,2,1,3
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,0,1,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,3,1,4
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,8,8,16
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,2,4,6
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,4,5
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,2,0,2
GUTIERREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,2,2,4
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,3,4
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,4,1,5
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,10,8,18
LAS CARRERAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,3,0,3
MACHARETI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,2,0,2
MOCOMOCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,6,4,10
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,9,2,11
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
POROMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
PORONGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,1,0,1
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2018-01-01,3,0,3
