,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,0,1,1
ARQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,4,1,5
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
BOYUIBE,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,0,2,2
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,4,4,8
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,1,2
CKOCHAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,3,3,6
COCAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,13,14,27
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,0,2,2
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,10,8,18
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,4,6
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,5,6
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,4,3,7
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,5,1,6
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,19,8,27
LAS CARRERAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
LURIBAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,1,2
MACHARETI,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
MAIRANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,2,0,2
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2018-01-01,1,0,1
