,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-01-01,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-02-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-04-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-05-01,0,0,0
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-05-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-06-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-06-01,3,3,6
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-06-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-08-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-09-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-09-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-10-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-10-01,1,2,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-11-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-11-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2018-12-01,0,0,0
