,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
ARANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
AYATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,0,1,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,3,4
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,2,1,3
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,0,2,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,2,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,4,1,5
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,1,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,22,8,30
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,2,1,3
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,2,3
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,4,1,5
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,1,2
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,8,2,10
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
MECAPACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
MOJOCOYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,9,3,12
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,3,0,3
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,2,2,4
PAMPA AULLAGAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,8,1,9
REYES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,2,3
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,3,3,6
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,0,1,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,73,43,116
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,1,2
