,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,1,1,2
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,0,0,0
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,3,4,7
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,0,1,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,2,0,2
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,1,1,2
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,1,1,2
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-02-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,4,1,5
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,1,2,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,0,2,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,0,1,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,4,0,4
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,1,0,1
