,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,2,2,4
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,2,2,4
SAN LORENZO(TJA),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,5,0,5
SANTA ROSA DEL SARA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-01-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,1,0,1
CLIZA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,2,0,2
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,10,0,10
MACHARETI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,0,1,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,2,0,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,1,0,1
PUERTO RICO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,2,3,5
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-02-01,1,0,1
CHIMORE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,4,0,4
CORIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,2,1,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,5,3,8
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-03-01,2,1,3
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,4,1,5
