,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARANAVI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-01-01,1,0,1
HUARINA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-01-01,0,2,2
ACHOCALLA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-02-01,1,0,1
CAIROMA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-02-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-02-01,0,0,0
SAN JULIAN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-02-01,0,3,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-03-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-03-01,0,0,0
QUIRUSILLAS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-03-01,0,2,2
TEOPONTE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-03-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-04-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-04-01,0,0,0
ORURO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-04-01,1,1,2
VILLAZON,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-04-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-05-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-05-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-05-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-05-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-05-01,1,1,2
TARIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-05-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-06-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-06-01,1,2,3
HUANUNI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-07-01,0,0,0
BERMEJO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-08-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-08-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-08-01,0,0,0
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-08-01,0,1,1
COTOCA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-09-01,0,1,1
