,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-01-01,0,0,0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-02-01,0,0,0
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-02-01,2,1,3
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-03-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-03-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-03-01,2,2,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-04-01,1,2,3
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-05-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-05-01,3,1,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-06-01,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-07-01,0,0,0
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-07-01,3,0,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-08-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-08-01,0,0,0
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-08-01,5,0,5
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-10-01,0,0,0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-11-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-12-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2022-12-01,2,0,2
