,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,1,2
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,2,2,4
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,4,2,6
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,2,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,4,4
GUTIERREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,1,2
HUANUNI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,0,0
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,3,4
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
RAVELO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,1,2
SAN CARLOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,1,2
SAN LUCAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,6,9,15
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
TARABUCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,2,0,2
VILLA MONTES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
VILLAZON,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
VINTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,0,1,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,0,1
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-01-01,1,1,2
ACHACACHI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-02-01,2,0,2
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-02-01,0,2,2
BUENA VISTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-02-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-02-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2022-02-01,2,0,2
