,group,variable,month,Nº DE PACIENTES MULTIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,Nº DE PACIENTES MULTIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-01-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-01-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-01-01,1,0,1
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-02-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-02-01,1,3,4
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-03-01,7,0,7
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-03-01,1,2,3
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-03-01,0,0,0
PORCO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-03-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-04-01,37,0,37
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-04-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-04-01,0,2,2
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-05-01,23,0,23
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-05-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-06-01,22,0,22
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-06-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-06-01,3,0,3
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-07-01,2,1,3
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-07-01,1,2,3
BUENA VISTA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-08-01,0,6,6
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-08-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-08-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-08-01,0,2,2
TOCO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-08-01,1,0,1
URUBICHA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-08-01,0,6,6
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-09-01,1,2,3
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-09-01,2,0,2
