,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,1,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,6,5,11
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,4,0,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,2,2
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,2,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,20,4,24
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,0,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,2,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,34,8,42
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,0,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,2,5
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
GAIOC JATUN AYLLU YURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,4,0,4
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
HUACARETA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,2,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,14,15,29
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,11,3,14
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
