,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
AIQUILE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,0,2,2
CKOCHAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,7,3,10
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,2,0,2
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,10,4,14
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
GAIOC JATUN AYLLU YURA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,5,9,14
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,2,0,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,1,2
PORTACHUELO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,3,0,3
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,8,8,16
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,3,1,4
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,1,2
VILLA RIVERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,0,1,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-01-01,1,0,1
ATOCHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,1,0,1
CARAPARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,0,1,1
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,7,9,16
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,2,0,2
COLLANA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,5,6,11
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2022-02-01,0,1,1
