,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,33,0,33
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,4,0,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,5,2,7
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
PORTACHUELO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,8,7,15
SHINAOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,2,3
SORATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
TACACOMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
TAPACARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
TEOPONTE,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,2,0,2
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-01-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,0,1,1
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,4,1,5
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,12,8,20
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,3,6,9
SHINAOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-02-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,4,1,5
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,5,1,6
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,2,1,3
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,2,0,2
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,2,5,7
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2022-03-01,1,0,1
