,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,1,2
ACHOCALLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,1,2
AIQUILE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
ARBIETO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,1,3
BOYUIBE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,0,1,1
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,0,1,1
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,5,4,9
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,1,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,4,0,4
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,1,4
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,19,8,27
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,0,2
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,0,2
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,0,3
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,3,5
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,0,2,2
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,27,7,34
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,0,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,2,5
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,4,0,4
HUACARETA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,0,1,1
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
HUARINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
IXIAMAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,1,2
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,2,5
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,13,13,26
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,5,5,10
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
OKINAWA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,0,1,1
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,4,0,4
PADILLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,0,1,1
