,group,variable,month,Nº DE PACIENTES PAUCIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,Nº DE PACIENTES PAUCIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-02-01,0,0,0
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-03-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-03-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-04-01,0,0,0
BUENA VISTA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-05-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-05-01,9,0,9
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-05-01,2,1,3
EL TORNO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-06-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-07-01,0,0,0
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-07-01,4,1,5
EL TORNO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-08-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-08-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-08-01,4,0,4
URUBICHA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-08-01,0,6,6
BUENA VISTA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-09-01,0,3,3
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-09-01,4,0,4
TOCO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-09-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-10-01,3,0,3
EL TORNO,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-11-01,0,0,0
LA PAZ,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-12-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes paucibacilares con seguimiento a sus contactos,2022-12-01,5,0,5
