,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-01-01,4,0,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-01-01,4,1,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-02-01,2,1,3
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-03-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-03-01,3,2,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-04-01,7,0,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-04-01,3,4,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-05-01,6,2,8
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-06-01,4,0,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-06-01,3,1,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-07-01,0,1,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-08-01,0,2,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-08-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-08-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-08-01,2,3,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-09-01,0,0,0
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-09-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-09-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-10-01,0,0,0
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-11-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-11-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-12-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-12-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2022-12-01,0,0,0
