,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,3,1,4
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,3,2,5
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,5,4,9
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,5,3,8
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,2,3,5
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,0,1,1
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,2,3
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,6,1,7
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,14,8,22
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,4,2,6
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,8,1,9
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,6,5,11
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,2,3
BELEN DE URMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,0,1
BELLA FLOR,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,10,7,17
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,5,1,6
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,0,2,2
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,5,5,10
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,2,3,5
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,1,2
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,2,0,2
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,2,0,2
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,3,0,3
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,1,2
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,6,5,11
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,2,4,6
CAQUIAVIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,2,2,4
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,43,14,57
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,2,2,4
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,2,3,5
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,4,6,10
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,5,0,5
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,3,0,3
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,7,3,10
CHOQUE COTA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,6,3,9
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2022-01-01,4,0,4
