,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-01-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-01-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-01-01,3,3,6
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-01-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,3,6,9
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-02-01,1,0,1
BAURES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,1,1,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,2,3,5
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,2,1,3
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,1,3,4
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,1,2,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,1,3,4
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,1,2,3
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-04-01,0,1,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,0,1,1
