,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,1,2
ACHOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,0,1,1
ARBIETO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,2,1,3
BOYUIBE,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,0,1,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,6,5,11
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,3,0,3
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,3,2,5
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,21,5,26
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,2,0,2
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,3,0,3
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,0,2,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,20,4,24
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,3,0,3
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,6,1,7
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
HUACARETA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
IXIAMAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,1,2
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,2,2,4
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,7,10,17
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,14,3,17
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,2,0,2
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,3,0,3
PADILLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,0,1,1
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,0,1
POROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,2,0,2
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2022-01-01,1,1,2
