municipality,group,variable,month,Repetidas,TOTAL
ACACIO,consultas prenatales,repetidas,2009-01-01,18,18
ACHACACHI,consultas prenatales,repetidas,2009-01-01,157,157
ACHOCALLA,consultas prenatales,repetidas,2009-01-01,53,53
AIQUILE,consultas prenatales,repetidas,2009-01-01,154,154
ALALAY,consultas prenatales,repetidas,2009-01-01,7,7
ALCALA,consultas prenatales,repetidas,2009-01-01,12,12
ANCORAIMES,consultas prenatales,repetidas,2009-01-01,43,43
ANDAMARCA,consultas prenatales,repetidas,2009-01-01,9,9
ANTEQUERA,consultas prenatales,repetidas,2009-01-01,4,4
ANZALDO,consultas prenatales,repetidas,2009-01-01,15,15
APOLO,consultas prenatales,repetidas,2009-01-01,100,100
ARAMPAMPA,consultas prenatales,repetidas,2009-01-01,17,17
ARANI,consultas prenatales,repetidas,2009-01-01,55,55
ARBIETO,consultas prenatales,repetidas,2009-01-01,42,42
ARQUE,consultas prenatales,repetidas,2009-01-01,38,38
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2009-01-01,175,175
ATOCHA,consultas prenatales,repetidas,2009-01-01,45,45
AUCAPATA,consultas prenatales,repetidas,2009-01-01,4,4
AYATA,consultas prenatales,repetidas,2009-01-01,13,13
AYO AYO,consultas prenatales,repetidas,2009-01-01,23,23
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2009-01-01,87,87
AZURDUY,consultas prenatales,repetidas,2009-01-01,54,54
BATALLAS,consultas prenatales,repetidas,2009-01-01,71,71
BAURES,consultas prenatales,repetidas,2009-01-01,30,30
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2009-01-01,2,2
BELEN DE URMIRI,consultas prenatales,repetidas,2009-01-01,2,2
BELLA FLOR,consultas prenatales,repetidas,2009-01-01,2,2
BERMEJO,consultas prenatales,repetidas,2009-01-01,248,248
BETANZOS,consultas prenatales,repetidas,2009-01-01,172,172
BOLIVAR,consultas prenatales,repetidas,2009-01-01,12,12
BOLPEBRA,consultas prenatales,repetidas,2009-01-01,8,8
BOYUIBE,consultas prenatales,repetidas,2009-01-01,15,15
BUENA VISTA,consultas prenatales,repetidas,2009-01-01,74,74
CABEZAS,consultas prenatales,repetidas,2009-01-01,107,107
CAIROMA,consultas prenatales,repetidas,2009-01-01,38,38
"CAIZA ""D""",consultas prenatales,repetidas,2009-01-01,31,31
CAJUATA,consultas prenatales,repetidas,2009-01-01,72,72
CALACOTO,consultas prenatales,repetidas,2009-01-01,10,10
CALAMARCA,consultas prenatales,repetidas,2009-01-01,41,41
CAMARGO,consultas prenatales,repetidas,2009-01-01,76,76
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2009-01-01,14,14
CAMIRI,consultas prenatales,repetidas,2009-01-01,307,307
CAPINOTA,consultas prenatales,repetidas,2009-01-01,192,192
CAQUIAVIRI,consultas prenatales,repetidas,2009-01-01,20,20
CARACOLLO,consultas prenatales,repetidas,2009-01-01,123,123
CARANAVI,consultas prenatales,repetidas,2009-01-01,174,174
CARANGAS,consultas prenatales,repetidas,2009-01-01,1,1
CARAPARI,consultas prenatales,repetidas,2009-01-01,96,96
CARIPUYO,consultas prenatales,repetidas,2009-01-01,30,30
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2009-01-01,18,18
CATACORA,consultas prenatales,repetidas,2009-01-01,2,2
CHALLAPATA,consultas prenatales,repetidas,2009-01-01,204,204
CHAQUI,consultas prenatales,repetidas,2009-01-01,16,16
CHARAGUA,consultas prenatales,repetidas,2009-01-01,186,186
CHARAÑA,consultas prenatales,repetidas,2009-01-01,5,5
CHAYANTA,consultas prenatales,repetidas,2009-01-01,73,73
CHIMORE,consultas prenatales,repetidas,2009-01-01,66,66
CHIPAYA,consultas prenatales,repetidas,2009-01-01,10,10
CHOQUE COTA,consultas prenatales,repetidas,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2009-01-01,135,135
CHUMA,consultas prenatales,repetidas,2009-01-01,27,27
CLIZA,consultas prenatales,repetidas,2009-01-01,164,164
COBIJA,consultas prenatales,repetidas,2009-01-01,532,532
COCHABAMBA,consultas prenatales,repetidas,2009-01-01,6470,6470
COIPASA,consultas prenatales,repetidas,2009-01-01,4,4
COLCAPIRHUA,consultas prenatales,repetidas,2009-01-01,427,427
"COLCHA ""K""",consultas prenatales,repetidas,2009-01-01,28,28
COLLANA,consultas prenatales,repetidas,2009-01-01,5,5
COLOMI,consultas prenatales,repetidas,2009-01-01,99,99
COLPA BELGICA,consultas prenatales,repetidas,2009-01-01,52,52
COLQUECHACA,consultas prenatales,repetidas,2009-01-01,106,106
COLQUENCHA,consultas prenatales,repetidas,2009-01-01,28,28
COLQUIRI,consultas prenatales,repetidas,2009-01-01,99,99
COMANCHE,consultas prenatales,repetidas,2009-01-01,5,5
COMARAPA,consultas prenatales,repetidas,2009-01-01,179,179
COMBAYA,consultas prenatales,repetidas,2009-01-01,6,6
CONCEPCION,consultas prenatales,repetidas,2009-01-01,114,114
COPACABANA,consultas prenatales,repetidas,2009-01-01,56,56
CORIPATA,consultas prenatales,repetidas,2009-01-01,67,67
CORO CORO,consultas prenatales,repetidas,2009-01-01,36,36
COROICO,consultas prenatales,repetidas,2009-01-01,114,114
CORQUE,consultas prenatales,repetidas,2009-01-01,17,17
COTAGAITA,consultas prenatales,repetidas,2009-01-01,107,107
COTOCA,consultas prenatales,repetidas,2009-01-01,291,291
CUATRO CAÑADAS,consultas prenatales,repetidas,2009-01-01,123,123
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2009-01-01,2,2
CUEVO,consultas prenatales,repetidas,2009-01-01,26,26
CULPINA,consultas prenatales,repetidas,2009-01-01,73,73
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2009-01-01,39,39
CURVA,consultas prenatales,repetidas,2009-01-01,1,1
DESAGUADERO,consultas prenatales,repetidas,2009-01-01,28,28
EL ALTO,consultas prenatales,repetidas,2009-01-01,5886,5886
EL CHORO,consultas prenatales,repetidas,2009-01-01,23,23
EL PUENTE(STC),consultas prenatales,repetidas,2009-01-01,73,73
EL PUENTE(TJA),consultas prenatales,repetidas,2009-01-01,56,56
EL TORNO,consultas prenatales,repetidas,2009-01-01,406,406
EL VILLAR,consultas prenatales,repetidas,2009-01-01,35,35
ENTRE RIOS,consultas prenatales,repetidas,2009-01-01,93,93
ENTRE RIOS,consultas prenatales,repetidas,2009-01-01,137,137
EUCALIPTUS,consultas prenatales,repetidas,2009-01-01,24,24
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2009-01-01,1,1
EXALTACION,consultas prenatales,repetidas,2009-01-01,8,8
FERNANDEZ ALONSO,consultas prenatales,repetidas,2009-01-01,77,77
FILADELFIA,consultas prenatales,repetidas,2009-01-01,17,17
GENERAL SAAVEDRA,consultas prenatales,repetidas,2009-01-01,57,57
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2009-01-01,22,22
GUANAY,consultas prenatales,repetidas,2009-01-01,78,78
GUAQUI,consultas prenatales,repetidas,2009-01-01,16,16
GUAYARAMERIN,consultas prenatales,repetidas,2009-01-01,353,353
GUTIERREZ,consultas prenatales,repetidas,2009-01-01,56,56
HUACARETA,consultas prenatales,repetidas,2009-01-01,39,39
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2009-01-01,8,8
HUACHACALLA,consultas prenatales,repetidas,2009-01-01,8,8
HUANUNI,consultas prenatales,repetidas,2009-01-01,269,269
HUARACAJE,consultas prenatales,repetidas,2009-01-01,32,32
HUAYLLAMARCA,consultas prenatales,repetidas,2009-01-01,11,11
ICHOCA,consultas prenatales,repetidas,2009-01-01,7,7
ICLA,consultas prenatales,repetidas,2009-01-01,59,59
INCAHUASI,consultas prenatales,repetidas,2009-01-01,147,147
INGAVI (HUMAITA),consultas prenatales,repetidas,2009-01-01,1,1
INQUISIVI,consultas prenatales,repetidas,2009-01-01,25,25
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2009-01-01,78,78
