municipality,group,variable,month,Nuevas a partir del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,11,11
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,53,53
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,15,15
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,31,31
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,2,2
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,1,1
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,20,20
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,5,5
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,3,3
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,14,14
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,22,22
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,3,3
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,8,8
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,13,13
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,11,11
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,20,20
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,5,5
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,3,3
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,12,12
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,25,25
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2009-01-01,10,10
