municipality,group,variable,month,Mujeres con 4ta consulta prenatal,TOTAL
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,32,32
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,15,15
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,41,41
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,5,5
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,2,2
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,3,3
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,3,3
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,14,14
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,3,3
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,13,13
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,10,10
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,3,3
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,38,38
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,7,7
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,2,2
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,18,18
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,13,13
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,13,13
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,5,5
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,2,2
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,51,51
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,34,34
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,19,19
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,33,33
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,7,7
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,7,7
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,10,10
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,5,5
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,33,33
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,67,67
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,19,19
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,3,3
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,22,22
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,29,29
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,10,10
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,5,5
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
CATACORA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,2,2
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,39,39
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,34,34
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,9,9
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,22,22
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,3,3
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,36,36
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,17,17
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,80,80
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1277,1277
COIPASA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,3,3
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,61,61
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,21,21
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,10,10
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,18,18
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,6,6
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,29,29
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,3,3
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,32,32
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,22,22
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,7,7
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,16,16
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,10,10
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,14,14
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,5,5
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,24,24
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,47,47
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,16,16
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,4,4
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,15,15
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,8,8
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1,1
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,8,8
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2009-01-01,1052,1052
