municipality,group,variable,month,Nuevas antes del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,52,52
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,22,22
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,46,46
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,5,5
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,15,15
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,6,6
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,20,20
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,22,22
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,12,12
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,71,71
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,20,20
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,6,6
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,23,23
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,16,16
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,12,12
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,5,5
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,46,46
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,41,41
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,7,7
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,5,5
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,26,26
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,27,27
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,11,11
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,14,14
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,18,18
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,8,8
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,19,19
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,7,7
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,109,109
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,34,34
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,28,28
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,68,68
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,25,25
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,5,5
CATACORA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,33,33
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,53,53
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,38,38
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,23,23
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,8,8
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,31,31
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,107,107
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1987,1987
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,110,110
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,21,21
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,7,7
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,35,35
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,37,37
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,16,16
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,34,34
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,18,18
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,20,20
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,8,8
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,13,13
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,6,6
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,21,21
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,93,93
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,21,21
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,28,28
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,8,8
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,8,8
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1890,1890
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,22,22
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,16,16
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,82,82
EL VILLAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,8,8
ENTRE RIOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,32,32
ENTRE RIOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,23,23
EUCALIPTUS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
EXALTACION,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
FERNANDEZ ALONSO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,27,27
FILADELFIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
GENERAL SAAVEDRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,30,30
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
GUANAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,20,20
GUAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
GUAYARAMERIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,108,108
GUTIERREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,21,21
HUACARETA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,16,16
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
HUANUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,101,101
HUARACAJE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,6,6
HUAYLLAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
ICHOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
ICLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
INCAHUASI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,45,45
INGAVI (HUMAITA),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
INQUISIVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,21,21
IXIAMAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,15,15
JESUS DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,16,16
LA ASUNTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,77,77
LA GUARDIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,138,138
LA PAZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1553,1553
LAGUNILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
LAJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,14,14
LAS CARRERAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,7,7
LICOMA PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
LLALLAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,65,65
LLICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
LORETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
LURIBAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
MACHARETI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,7,7
MAGDALENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,25,25
MAIRANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,17,17
MALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
MAPIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,22,22
MECAPACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
MINEROS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,25,25
MIZQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,43,43
MOCOMOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
MOJOCOYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,12,12
MONTEAGUDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,57,57
MONTERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,180,180
MORO MORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
MOROCHATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,33,33
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
NAZACARA DE PACAJES,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
OCURI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,22,22
OKINAWA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,44,44
OMEREQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
ORURO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,638,638
PADCAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,24,24
PADILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,24,24
PAILON,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,52,52
PALCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,6,6
PALOS BLANCOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,38,38
PAMPA AULLAGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
PAMPA GRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,13,13
PAPEL PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
PASORAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,7,7
PATACAMAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,36,36
PAZÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
PELECHUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
POCOATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,17,17
POCONA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,15,15
POJO (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,20,20
POOPO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,9,9
PORCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
POROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,21,21
PORONGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,18,18
PORTACHUELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,33,33
PORVENIR,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,7,7
POSTRER VALLE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,1,1
POTOSI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,437,437
PRESTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,4,4
PUCARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,18,18
PUERTO ACOSTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,18,18
PUERTO CARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,13,13
PUERTO GONZALO MORENO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,5,5
PUERTO PEREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,5,5
PUERTO QUIJARRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,35,35
PUERTO RICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,10,10
PUERTO SILES,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,3,3
PUERTO SUAREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,29,29
PUERTO VILLARROEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,95,95
PUNA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,31,31
PUNATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,60,60
QUIABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
QUILLACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,235,235
QUIME,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,7,7
QUIRUSILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
RAVELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,13,13
REYES,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,22,22
RIBERALTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,198,198
ROBORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,33,33
RURRENABAQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,17,17
SABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2009-01-01,2,2
