municipality,group,variable,month,Nº. De actividades educativas en Salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,6,6
ALCALA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
ALTO BENI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
ANTEQUERA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
ANZALDO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,6,6
ARBIETO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,10,10
ATOCHA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
AYO AYO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,8,8
AZURDUY,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
BAURES,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
BERMEJO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,10,10
BETANZOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,25,25
BUENA VISTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
CABEZAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
CAJUATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,8,8
CALAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
CAMARGO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
CAMIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,19,19
CAPINOTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
CARANAVI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,11,11
CARAPARI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,10,10
CHALLAPATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,15,15
CHAYANTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,6,6
CKOCHAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,11,11
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
COLOMI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,14,14
COMARAPA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
COMBAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
COPACABANA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,6,6
COROICO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
CUEVO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
EL ALTO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,84,84
EL CHORO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,6,6
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,17,17
