municipality,group,variable,month,Nº de CAI de establecimiento,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,8,8
ALTO BENI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,3,3
ANZALDO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
APOLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
ARBIETO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
ARQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,6,6
BETANZOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,5,5
BOLIVAR,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,4,4
CALAMARCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,3,3
CAPINOTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
CHAYANTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,3,3
COCAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,3,3
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,4,4
COPACABANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
CORIPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
COROICO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
CURVA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,28,28
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,3,3
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
GUTIERREZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,38,38
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
MAIRANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
MAPIRI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
MECAPACA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,3,3
MORO MORO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
MOROCHATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
OKINAWA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
ORURO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
PADCAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
PAILON,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
PALCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
POCONA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,4,4
POJO (CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,3,3
PUCARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,6,6
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,3,3
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
RIBERALTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
ROBORE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
SABAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
SACABA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
SAIPINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2010-01-01,1,1
