,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,n de personas con prueba rapida,2011-01-01,3,33,36
ALCALA,vih,n de personas con prueba rapida,2011-01-01,0,1,1
APOLO,vih,n de personas con prueba rapida,2011-01-01,2,0,2
BATALLAS,vih,n de personas con prueba rapida,2011-01-01,1,1,2
BERMEJO,vih,n de personas con prueba rapida,2011-01-01,3,0,3
BOLPEBRA,vih,n de personas con prueba rapida,2011-01-01,0,2,2
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2011-01-01,0,2,2
CAMIRI,vih,n de personas con prueba rapida,2011-01-01,2,3,5
CARACOLLO,vih,n de personas con prueba rapida,2011-01-01,7,10,17
CARANAVI,vih,n de personas con prueba rapida,2011-01-01,17,4,21
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2011-01-01,9,1,10
COBIJA,vih,n de personas con prueba rapida,2011-01-01,3,118,121
COCHABAMBA,vih,n de personas con prueba rapida,2011-01-01,10,139,149
COLOMI,vih,n de personas con prueba rapida,2011-01-01,2,21,23
EL ALTO,vih,n de personas con prueba rapida,2011-01-01,320,746,1066
EL TORNO,vih,n de personas con prueba rapida,2011-01-01,1,4,5
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2011-01-01,0,17,17
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2011-01-01,0,2,2
FILADELFIA,vih,n de personas con prueba rapida,2011-01-01,1,0,1
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2011-01-01,0,2,2
GUAYARAMERIN,vih,n de personas con prueba rapida,2011-01-01,73,215,288
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2011-01-01,0,1,1
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2011-01-01,9,13,22
LA GUARDIA,vih,n de personas con prueba rapida,2011-01-01,3,40,43
LA PAZ,vih,n de personas con prueba rapida,2011-01-01,25,36,61
LICOMA PAMPA,vih,n de personas con prueba rapida,2011-01-01,0,11,11
LLALLAGUA,vih,n de personas con prueba rapida,2011-01-01,3,2,5
MINEROS,vih,n de personas con prueba rapida,2011-01-01,0,75,75
MONTEAGUDO,vih,n de personas con prueba rapida,2011-01-01,5,29,34
MONTERO,vih,n de personas con prueba rapida,2011-01-01,38,41,79
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2011-01-01,0,2,2
ORURO,vih,n de personas con prueba rapida,2011-01-01,3,15,18
PADCAYA,vih,n de personas con prueba rapida,2011-01-01,0,22,22
PADILLA,vih,n de personas con prueba rapida,2011-01-01,1,11,12
PAILON,vih,n de personas con prueba rapida,2011-01-01,4,6,10
PORONGO,vih,n de personas con prueba rapida,2011-01-01,9,0,9
PORVENIR,vih,n de personas con prueba rapida,2011-01-01,1,0,1
POTOSI,vih,n de personas con prueba rapida,2011-01-01,0,4,4
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2011-01-01,0,3,3
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2011-01-01,5,8,13
PUERTO RICO,vih,n de personas con prueba rapida,2011-01-01,1,3,4
PUERTO SUAREZ,vih,n de personas con prueba rapida,2011-01-01,9,78,87
PUNATA,vih,n de personas con prueba rapida,2011-01-01,0,7,7
QUIME,vih,n de personas con prueba rapida,2011-01-01,0,12,12
RURRENABAQUE,vih,n de personas con prueba rapida,2011-01-01,1,51,52
SACABA,vih,n de personas con prueba rapida,2011-01-01,7,6,13
SAN CARLOS,vih,n de personas con prueba rapida,2011-01-01,1,3,4
SAN IGNACIO,vih,n de personas con prueba rapida,2011-01-01,2,20,22
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2011-01-01,25,26,51
SAN JAVIER(STC),vih,n de personas con prueba rapida,2011-01-01,1,26,27
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2011-01-01,4,60,64
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2011-01-01,1,2,3
SAN JULIAN,vih,n de personas con prueba rapida,2011-01-01,5,6,11
SAN LORENZO(PND),vih,n de personas con prueba rapida,2011-01-01,1,11,12
