municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,3,3
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,23,23
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,6,6
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,4,4
ALALAY,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
ALCALA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,4,4
ANDAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
ANZALDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,3,3
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,7,7
ARAMPAMPA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,2,2
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,10,10
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,15,15
ARQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
AYATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,15,15
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,4,4
BELLA FLOR,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,17,17
BOLPEBRA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,2,2
BUENA VISTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,5,5
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,4,4
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,14,14
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,23,23
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,34,34
CAQUIAVIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,4,4
CARACOLLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,12,12
CARANAVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,64,64
CARAPARI,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,6,6
CHALLAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,50,50
CHAQUI,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,2,2
CHARAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,37,37
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2015-01-01,4,4
