municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
AIQUILE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,4,4
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,3,3
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
CHIMORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,9,9
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,139,139
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,86,86
GUANAY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,6,6
GUTIERREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
HUARACAJE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
ICLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,200,200
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,9,9
MAIRANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
MIZQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,3,3
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,26,26
MOROCHATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,33,33
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
PAMPA AULLAGAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,3,3
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2015-01-01,13,13
