municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-01-01,1,1
GUTIERREZ,atencion de partos en servicios,partos atendidos por partera en servicio,2015-01-01,1,1
SAN CARLOS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-01-01,2,2
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-02-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,partos atendidos por partera en servicio,2015-02-01,2,2
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-03-01,5,5
PADCAYA,atencion de partos en servicios,partos atendidos por partera en servicio,2015-03-01,1,1
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2015-03-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-04-01,2,2
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-04-01,2,2
SORATA,atencion de partos en servicios,partos atendidos por partera en servicio,2015-04-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-05-01,2,2
CONCEPCION,atencion de partos en servicios,partos atendidos por partera en servicio,2015-05-01,1,1
LORETO,atencion de partos en servicios,partos atendidos por partera en servicio,2015-05-01,1,1
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2015-05-01,1,1
CHARAGUA,atencion de partos en servicios,partos atendidos por partera en servicio,2015-06-01,1,1
CHAYANTA,atencion de partos en servicios,partos atendidos por partera en servicio,2015-06-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-06-01,4,4
EL ALTO,atencion de partos en servicios,partos atendidos por partera en servicio,2015-06-01,6,6
PAMPA GRANDE,atencion de partos en servicios,partos atendidos por partera en servicio,2015-06-01,2,2
POOPO,atencion de partos en servicios,partos atendidos por partera en servicio,2015-06-01,3,3
RAVELO,atencion de partos en servicios,partos atendidos por partera en servicio,2015-06-01,2,2
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2015-06-01,1,1
AIQUILE,atencion de partos en servicios,partos atendidos por partera en servicio,2015-07-01,1,1
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2015-07-01,4,4
CUATRO CAÑADAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-08-01,36,36
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-08-01,2,2
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2015-08-01,1,1
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2015-08-01,1,1
ALALAY,atencion de partos en servicios,partos atendidos por partera en servicio,2015-09-01,1,1
BATALLAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-09-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-09-01,1,1
COBIJA,atencion de partos en servicios,partos atendidos por partera en servicio,2015-10-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-10-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por partera en servicio,2015-10-01,1,1
CAPINOTA,atencion de partos en servicios,partos atendidos por partera en servicio,2015-11-01,1,1
CARAPARI,atencion de partos en servicios,partos atendidos por partera en servicio,2015-11-01,1,1
HUACARETA,atencion de partos en servicios,partos atendidos por partera en servicio,2015-11-01,1,1
WARNES,atencion de partos en servicios,partos atendidos por partera en servicio,2015-11-01,1,1
SAN LUCAS,atencion de partos en servicios,partos atendidos por partera en servicio,2015-12-01,1,1
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2015-12-01,2,2
VILLAZON,atencion de partos en servicios,partos atendidos por partera en servicio,2015-12-01,1,1
