municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2015-01-01,3,3
ACHACACHI,atencion de partos en servicios,nacidos vivos,2015-01-01,26,26
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2015-01-01,6,6
AIQUILE,atencion de partos en servicios,nacidos vivos,2015-01-01,35,35
ALALAY,atencion de partos en servicios,nacidos vivos,2015-01-01,1,1
ALCALA,atencion de partos en servicios,nacidos vivos,2015-01-01,4,4
ALTO BENI,atencion de partos en servicios,nacidos vivos,2015-01-01,9,9
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2015-01-01,4,4
ANDAMARCA,atencion de partos en servicios,nacidos vivos,2015-01-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos,2015-01-01,3,3
APOLO,atencion de partos en servicios,nacidos vivos,2015-01-01,9,9
ARAMPAMPA,atencion de partos en servicios,nacidos vivos,2015-01-01,2,2
ARANI,atencion de partos en servicios,nacidos vivos,2015-01-01,10,10
ARBIETO,atencion de partos en servicios,nacidos vivos,2015-01-01,15,15
ARQUE,atencion de partos en servicios,nacidos vivos,2015-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2015-01-01,54,54
ATOCHA,atencion de partos en servicios,nacidos vivos,2015-01-01,16,16
AYATA,atencion de partos en servicios,nacidos vivos,2015-01-01,1,1
AYO AYO,atencion de partos en servicios,nacidos vivos,2015-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2015-01-01,15,15
AZURDUY,atencion de partos en servicios,nacidos vivos,2015-01-01,3,3
BATALLAS,atencion de partos en servicios,nacidos vivos,2015-01-01,5,5
BAURES,atencion de partos en servicios,nacidos vivos,2015-01-01,8,8
BELLA FLOR,atencion de partos en servicios,nacidos vivos,2015-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos,2015-01-01,45,45
BETANZOS,atencion de partos en servicios,nacidos vivos,2015-01-01,23,23
BOLPEBRA,atencion de partos en servicios,nacidos vivos,2015-01-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos vivos,2015-01-01,2,2
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2015-01-01,7,7
CABEZAS,atencion de partos en servicios,nacidos vivos,2015-01-01,21,21
CAIROMA,atencion de partos en servicios,nacidos vivos,2015-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2015-01-01,6,6
CAJUATA,atencion de partos en servicios,nacidos vivos,2015-01-01,14,14
CALAMARCA,atencion de partos en servicios,nacidos vivos,2015-01-01,7,7
CAMARGO,atencion de partos en servicios,nacidos vivos,2015-01-01,24,24
CAMIRI,atencion de partos en servicios,nacidos vivos,2015-01-01,106,106
CAPINOTA,atencion de partos en servicios,nacidos vivos,2015-01-01,16,16
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2015-01-01,4,4
CARACOLLO,atencion de partos en servicios,nacidos vivos,2015-01-01,13,13
CARANAVI,atencion de partos en servicios,nacidos vivos,2015-01-01,70,70
CARAPARI,atencion de partos en servicios,nacidos vivos,2015-01-01,8,8
