municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACHACACHI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
AIQUILE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,30,30
ALTO BENI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,9,9
ANCORAIMES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,4,4
APOLO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,2,2
ARQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,2,2
ATOCHA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,5,5
AYO AYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,2,2
BATALLAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,1,1
BERMEJO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,1,1
BETANZOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,4,4
BUENA VISTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,7,7
CABEZAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,11,11
CAIROMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,1,1
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
CALAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,7,7
CAMARGO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,67,67
CAPINOTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,16,16
CARACOLLO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,1,1
CARANAVI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,6,6
CARAPARI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,5,5
CARIPUYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,6,6
CHALLAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,4,4
CHAQUI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,7,7
CHARAGUA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,10,10
CHIMORE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,9,9
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,31,31
CHUMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
CKOCHAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
COBIJA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,19,19
COCAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
COCHABAMBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,65,65
"COLCHA ""K""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,2,2
COLLANA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,4,4
COLOMI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
COLQUECHACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,16,16
COMBAYA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,4,4
CONCEPCION,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,13,13
CORQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,2,2
COTAGAITA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,4,4
COTOCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,65,65
CUATRO CAÑADAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,4,4
CUEVO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
CULPINA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,2,2
EL ALTO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,452,452
EL PUENTE(TJA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,6,6
EL VILLAR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,12,12
ENTRE RIOS CBBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,8,8
ESCOMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,9,9
FERNANDEZ ALONSO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,9,9
FILADELFIA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2015-01-01,3,3
