municipality,group,variable,month,RN con malformación congénita,TOTAL
ALALAY,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,1,1
COMARAPA,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,7,7
GUANAY,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,8,8
PUERTO VILLARROEL,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,4,4
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,1,1
SAN JULIAN,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,1,1
TARIJA,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,rn con malformacion congenita,2015-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
COMARAPA,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,5,5
LA GUARDIA,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,10,10
MONTEAGUDO,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,2,2
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,5,5
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
TARIJA,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,2,2
TRINIDAD,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
VIACHA,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
VILLA TUNARI,atencion de partos en servicios,rn con malformacion congenita,2015-02-01,1,1
"CAIZA ""D""",atencion de partos en servicios,rn con malformacion congenita,2015-03-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,1,1
COLOMI,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,2,2
COLQUENCHA,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,7,7
ENTRE RIOS CBBA,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,1,1
FILADELFIA,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,13,13
MONTEAGUDO,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,2,2
RAVELO,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,2,2
RURRENABAQUE,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,2,2
SOPACHUY,atencion de partos en servicios,rn con malformacion congenita,2015-03-01,5,5
