municipality,group,variable,month,Mujeres con visita de control en las 48 hrs siguientes al parto,TOTAL
ACACIO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,3,3
ACHACACHI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,24,24
ACHOCALLA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,7,7
AIQUILE,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,33,33
ALALAY,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
ALCALA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,4,4
ALTO BENI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,5,5
ANCORAIMES,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,3,3
ANDAMARCA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
APOLO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,8,8
ARAMPAMPA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
ARANI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,10,10
ARBIETO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,15,15
ARQUE,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
ATOCHA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,5,5
AYATA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
AYO AYO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,10,10
BATALLAS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,12,12
BAURES,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,8,8
BELLA FLOR,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
BERMEJO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
BETANZOS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,13,13
BOLPEBRA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
BOYUIBE,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
BUENA VISTA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
CABEZAS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,18,18
CAIROMA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,6,6
CAJUATA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,14,14
CALAMARCA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,7,7
CAMARGO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,24,24
CAPINOTA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,9,9
CAQUIAVIRI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,4,4
CARACOLLO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,13,13
CARANAVI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,71,71
CARAPARI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
CARIPUYO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,6,6
CHALLAPATA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,53,53
CHAQUI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,8,8
CHARAGUA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,47,47
CHAYANTA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,6,6
CHIMORE,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,39,39
