municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,36,36
COMARAPA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,6,6
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,15,15
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
MOROCHATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,7,7
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,16,16
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,3,3
TACACOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2015-01-01,5,5
