municipality,group,variable,month,RN con apego precoz,TOTAL
ACACIO,atencion de partos en servicios,rn con apego precoz,2015-01-01,3,3
ACHACACHI,atencion de partos en servicios,rn con apego precoz,2015-01-01,3,3
ACHOCALLA,atencion de partos en servicios,rn con apego precoz,2015-01-01,6,6
AIQUILE,atencion de partos en servicios,rn con apego precoz,2015-01-01,31,31
ALALAY,atencion de partos en servicios,rn con apego precoz,2015-01-01,1,1
ALCALA,atencion de partos en servicios,rn con apego precoz,2015-01-01,4,4
ALTO BENI,atencion de partos en servicios,rn con apego precoz,2015-01-01,7,7
ANCORAIMES,atencion de partos en servicios,rn con apego precoz,2015-01-01,4,4
ANDAMARCA,atencion de partos en servicios,rn con apego precoz,2015-01-01,1,1
ANZALDO,atencion de partos en servicios,rn con apego precoz,2015-01-01,3,3
APOLO,atencion de partos en servicios,rn con apego precoz,2015-01-01,9,9
ARAMPAMPA,atencion de partos en servicios,rn con apego precoz,2015-01-01,2,2
ARANI,atencion de partos en servicios,rn con apego precoz,2015-01-01,10,10
ARBIETO,atencion de partos en servicios,rn con apego precoz,2015-01-01,15,15
ARQUE,atencion de partos en servicios,rn con apego precoz,2015-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con apego precoz,2015-01-01,41,41
ATOCHA,atencion de partos en servicios,rn con apego precoz,2015-01-01,4,4
AYATA,atencion de partos en servicios,rn con apego precoz,2015-01-01,1,1
AYO AYO,atencion de partos en servicios,rn con apego precoz,2015-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con apego precoz,2015-01-01,17,17
AZURDUY,atencion de partos en servicios,rn con apego precoz,2015-01-01,3,3
BATALLAS,atencion de partos en servicios,rn con apego precoz,2015-01-01,5,5
BAURES,atencion de partos en servicios,rn con apego precoz,2015-01-01,8,8
BELLA FLOR,atencion de partos en servicios,rn con apego precoz,2015-01-01,1,1
BETANZOS,atencion de partos en servicios,rn con apego precoz,2015-01-01,20,20
BOLPEBRA,atencion de partos en servicios,rn con apego precoz,2015-01-01,1,1
BOYUIBE,atencion de partos en servicios,rn con apego precoz,2015-01-01,2,2
BUENA VISTA,atencion de partos en servicios,rn con apego precoz,2015-01-01,7,7
CABEZAS,atencion de partos en servicios,rn con apego precoz,2015-01-01,15,15
CAIROMA,atencion de partos en servicios,rn con apego precoz,2015-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,rn con apego precoz,2015-01-01,6,6
CAJUATA,atencion de partos en servicios,rn con apego precoz,2015-01-01,14,14
CALAMARCA,atencion de partos en servicios,rn con apego precoz,2015-01-01,7,7
CAMARGO,atencion de partos en servicios,rn con apego precoz,2015-01-01,24,24
CAPINOTA,atencion de partos en servicios,rn con apego precoz,2015-01-01,16,16
CAQUIAVIRI,atencion de partos en servicios,rn con apego precoz,2015-01-01,3,3
CARACOLLO,atencion de partos en servicios,rn con apego precoz,2015-01-01,13,13
CARANAVI,atencion de partos en servicios,rn con apego precoz,2015-01-01,69,69
CARAPARI,atencion de partos en servicios,rn con apego precoz,2015-01-01,8,8
CARIPUYO,atencion de partos en servicios,rn con apego precoz,2015-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con apego precoz,2015-01-01,6,6
CHALLAPATA,atencion de partos en servicios,rn con apego precoz,2015-01-01,54,54
CHAQUI,atencion de partos en servicios,rn con apego precoz,2015-01-01,9,9
CHARAGUA,atencion de partos en servicios,rn con apego precoz,2015-01-01,41,41
CHAYANTA,atencion de partos en servicios,rn con apego precoz,2015-01-01,6,6
CHIMORE,atencion de partos en servicios,rn con apego precoz,2015-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con apego precoz,2015-01-01,29,29
CHUMA,atencion de partos en servicios,rn con apego precoz,2015-01-01,3,3
CKOCHAS,atencion de partos en servicios,rn con apego precoz,2015-01-01,4,4
CLIZA,atencion de partos en servicios,rn con apego precoz,2015-01-01,34,34
COBIJA,atencion de partos en servicios,rn con apego precoz,2015-01-01,4,4
COCAPATA,atencion de partos en servicios,rn con apego precoz,2015-01-01,4,4
COCHABAMBA,atencion de partos en servicios,rn con apego precoz,2015-01-01,582,582
