,group,variable,month,15.2 ANESTESIAS GENERALES Y REGIONALES CANTIDAD,15.2 ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,2,10,12
AIQUILE,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,4,9,13
ANZALDO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,9,16,25
ASCENCION DE GUARAYOS,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,13,20,33
BAURES,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,3,4,7
BERMEJO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,12,55,67
BETANZOS,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,1,1
CAMARGO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,9,24,33
CAMIRI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,7,69,76
CARANAVI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,5,24,29
CHALLAPATA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,7,7
CHARAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1,17,18
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,4,4
CLIZA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,12,12
COBIJA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,54,125,179
COCHABAMBA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1125,2025,3150
COLCAPIRHUA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,18,35,53
COMARAPA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,16,16
COROICO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,11,13,24
COTOCA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,1,1
CULPINA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,2,5,7
EL ALTO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,450,743,1193
EL TORNO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,21,63,84
ENTRE RIOS TRJ,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1,1,2
ESCOMA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,6,5,11
GUAYARAMERIN,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,20,75,95
HUANUNI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,15,29,44
LA PAZ,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1336,2039,3375
LLALLAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,18,24,42
MAGDALENA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,7,7
MIZQUE,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1,7,8
MONTEAGUDO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,22,28,50
MONTERO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,65,239,304
ORURO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,326,657,983
PAILON,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,4,4
PATACAMAYA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,5,5
PORTACHUELO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,14,47,61
POTOSI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,222,388,610
PUERTO VILLARROEL,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,7,30,37
PUNATA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,17,38,55
QUILLACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,25,85,110
REYES,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,2,5,7
RIBERALTA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,36,169,205
ROBORE,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,9,9
RURRENABAQUE,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,3,24,27
SACABA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,23,77,100
SAN BORJA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,11,30,41
SAN CARLOS,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1,13,14
