,group,variable,month,15.1 CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,15.1 CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,2,10,12
AIQUILE,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,4,9,13
ANZALDO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,9,16,25
ASCENCION DE GUARAYOS,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,3,10,13
BAURES,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,3,4,7
BERMEJO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,8,36,44
BETANZOS,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,1,1
CAMARGO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,9,24,33
CAMIRI,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,6,54,60
CARANAVI,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,5,24,29
CHALLAPATA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,7,7
CHARAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,1,17,18
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,4,4
CLIZA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,12,12
COBIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,47,113,160
COCHABAMBA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,1054,1950,3004
COLCAPIRHUA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,16,31,47
COMARAPA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,16,16
COROICO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,9,9,18
COTOCA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,1,1
EL ALTO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,449,743,1192
EL TORNO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,21,63,84
ENTRE RIOS TRJ,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,1,1,2
ESCOMA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,6,5,11
GUAYARAMERIN,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,20,75,95
HUANUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,15,29,44
LA PAZ,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,1336,2039,3375
LLALLAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,18,24,42
MAGDALENA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,7,7
MIZQUE,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,1,7,8
MONTEAGUDO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,12,24,36
MONTERO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,65,233,298
ORURO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,326,657,983
PAILON,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,4,4
PATACAMAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,5,5
PORTACHUELO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,14,47,61
POTOSI,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,180,313,493
PUERTO VILLARROEL,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,7,30,37
PUNATA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,17,38,55
QUILLACOLLO,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,25,85,110
REYES,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,2,5,7
RIBERALTA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,36,169,205
ROBORE,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,0,9,9
RURRENABAQUE,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,3,24,27
SACABA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,23,68,91
SAN BORJA,cirugias y anestesias,      cirugias medianas y mayores,2014-01-01,11,30,41
