municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2022-01-01,8,8
ACHACACHI,otras actividades de enfermeria,otras actividades,2022-01-01,215,215
ACHOCALLA,otras actividades de enfermeria,otras actividades,2022-01-01,42,42
AIQUILE,otras actividades de enfermeria,otras actividades,2022-01-01,695,695
ALCALA,otras actividades de enfermeria,otras actividades,2022-01-01,167,167
ALTO BENI,otras actividades de enfermeria,otras actividades,2022-01-01,13,13
ANCORAIMES,otras actividades de enfermeria,otras actividades,2022-01-01,38,38
ANDAMARCA,otras actividades de enfermeria,otras actividades,2022-01-01,53,53
ANTEQUERA,otras actividades de enfermeria,otras actividades,2022-01-01,82,82
ANZALDO,otras actividades de enfermeria,otras actividades,2022-01-01,16,16
APOLO,otras actividades de enfermeria,otras actividades,2022-01-01,1959,1959
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2022-01-01,36,36
ARANI,otras actividades de enfermeria,otras actividades,2022-01-01,1,1
ARBIETO,otras actividades de enfermeria,otras actividades,2022-01-01,1,1
ARQUE,otras actividades de enfermeria,otras actividades,2022-01-01,11,11
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2022-01-01,819,819
ATOCHA,otras actividades de enfermeria,otras actividades,2022-01-01,17851,17851
AUCAPATA,otras actividades de enfermeria,otras actividades,2022-01-01,54,54
AYATA,otras actividades de enfermeria,otras actividades,2022-01-01,10,10
AYO AYO,otras actividades de enfermeria,otras actividades,2022-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2022-01-01,124,124
AZURDUY,otras actividades de enfermeria,otras actividades,2022-01-01,205,205
BATALLAS,otras actividades de enfermeria,otras actividades,2022-01-01,9,9
BAURES,otras actividades de enfermeria,otras actividades,2022-01-01,208,208
BELLA FLOR,otras actividades de enfermeria,otras actividades,2022-01-01,85,85
BERMEJO,otras actividades de enfermeria,otras actividades,2022-01-01,56685,56685
BETANZOS,otras actividades de enfermeria,otras actividades,2022-01-01,673,673
BOLPEBRA,otras actividades de enfermeria,otras actividades,2022-01-01,17,17
BUENA VISTA,otras actividades de enfermeria,otras actividades,2022-01-01,62,62
CABEZAS,otras actividades de enfermeria,otras actividades,2022-01-01,306,306
CAIROMA,otras actividades de enfermeria,otras actividades,2022-01-01,42,42
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2022-01-01,751,751
CAJUATA,otras actividades de enfermeria,otras actividades,2022-01-01,101,101
CALACOTO,otras actividades de enfermeria,otras actividades,2022-01-01,2,2
CALAMARCA,otras actividades de enfermeria,otras actividades,2022-01-01,9,9
CAMARGO,otras actividades de enfermeria,otras actividades,2022-01-01,7548,7548
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2022-01-01,95,95
CAMIRI,otras actividades de enfermeria,otras actividades,2022-01-01,16264,16264
CAPINOTA,otras actividades de enfermeria,otras actividades,2022-01-01,100,100
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2022-01-01,64,64
CARACOLLO,otras actividades de enfermeria,otras actividades,2022-01-01,79,79
CARANAVI,otras actividades de enfermeria,otras actividades,2022-01-01,20087,20087
CARANGAS,otras actividades de enfermeria,otras actividades,2022-01-01,1,1
CARAPARI,otras actividades de enfermeria,otras actividades,2022-01-01,31,31
CARIPUYO,otras actividades de enfermeria,otras actividades,2022-01-01,18,18
CARMEN RIVERO TORREZ,otras actividades de enfermeria,otras actividades,2022-01-01,338,338
CATACORA,otras actividades de enfermeria,otras actividades,2022-01-01,2,2
CHALLAPATA,otras actividades de enfermeria,otras actividades,2022-01-01,5956,5956
CHAQUI,otras actividades de enfermeria,otras actividades,2022-01-01,4,4
CHARAGUA,otras actividades de enfermeria,otras actividades,2022-01-01,1323,1323
CHAYANTA,otras actividades de enfermeria,otras actividades,2022-01-01,302,302
CHIMORE,otras actividades de enfermeria,otras actividades,2022-01-01,568,568
CHIPAYA,otras actividades de enfermeria,otras actividades,2022-01-01,1,1
CHOQUE COTA,otras actividades de enfermeria,otras actividades,2022-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,otras actividades,2022-01-01,1177,1177
CHUMA,otras actividades de enfermeria,otras actividades,2022-01-01,144,144
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,otras actividades,2022-01-01,20,20
CKOCHAS,otras actividades de enfermeria,otras actividades,2022-01-01,11,11
CLIZA,otras actividades de enfermeria,otras actividades,2022-01-01,656,656
COBIJA,otras actividades de enfermeria,otras actividades,2022-01-01,61848,61848
COCAPATA,otras actividades de enfermeria,otras actividades,2022-01-01,99,99
COCHABAMBA,otras actividades de enfermeria,otras actividades,2022-01-01,431518,431518
COIPASA,otras actividades de enfermeria,otras actividades,2022-01-01,57,57
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2022-01-01,2800,2800
"COLCHA ""K""",otras actividades de enfermeria,otras actividades,2022-01-01,26,26
COLLANA,otras actividades de enfermeria,otras actividades,2022-01-01,5,5
COLOMI,otras actividades de enfermeria,otras actividades,2022-01-01,107,107
COLPA BELGICA,otras actividades de enfermeria,otras actividades,2022-01-01,318,318
COLQUECHACA,otras actividades de enfermeria,otras actividades,2022-01-01,11,11
COLQUENCHA,otras actividades de enfermeria,otras actividades,2022-01-01,2,2
COLQUIRI,otras actividades de enfermeria,otras actividades,2022-01-01,15,15
