municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,35,35
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,295,295
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,98,98
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,147,147
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,5,5
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,27,27
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,60,60
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,31,31
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,25,25
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,3,3
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,47,47
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,71,71
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,18,18
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,100,100
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,117,117
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,62,62
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,463,463
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,351,351
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,40,40
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,80,80
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,54,54
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,116,116
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,21,21
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,85,85
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,241,241
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,5,5
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,11,11
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,8,8
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,1162,1162
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,262,262
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,3,3
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,13,13
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,5,5
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,97,97
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,135,135
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,79,79
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,153,153
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,125,125
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,15,15
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,37,37
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,114,114
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,25,25
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,2417,2417
CAPINOTA,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,126,126
CAQUIAVIRI,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,56,56
CARACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,139,139
CARANAVI,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,343,343
CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,6,6
CARAPARI,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,78,78
CARIPUYO,otras actividades de enfermeria,curaciones y/o suturas,2022-01-01,11,11
