municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,31,31
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,169,169
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,23,23
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,132,132
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,12,12
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,30,30
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,98,98
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,7,7
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,15,15
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,39,39
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,50,50
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,10,10
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,122,122
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,37,37
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,39,39
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,452,452
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,592,592
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,9,9
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,39,39
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,25,25
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,73,73
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,54,54
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,95,95
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,82,82
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,6,6
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,20,20
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2006-01-01,38,38
