,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVO,PERSONAS DE 21 A 59 AÑOS NUEVO,PERSONAS DE 21 A 59 AÑOS REPETIDO,PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 21 a 59 anos,2013-01-01,66,114,1,3,67,117,184
ACHACACHI,consulta externa,personas de 21 a 59 anos,2013-01-01,184,349,19,27,203,376,579
ACHOCALLA,consulta externa,personas de 21 a 59 anos,2013-01-01,32,147,5,0,37,147,184
AIQUILE,consulta externa,personas de 21 a 59 anos,2013-01-01,209,491,64,129,273,620,893
ALALAY,consulta externa,personas de 21 a 59 anos,2013-01-01,19,35,0,0,19,35,54
ALCALA,consulta externa,personas de 21 a 59 anos,2013-01-01,64,162,2,2,66,164,230
ALTO BENI,consulta externa,personas de 21 a 59 anos,2013-01-01,169,260,13,12,182,272,454
ANCORAIMES,consulta externa,personas de 21 a 59 anos,2013-01-01,58,120,9,13,67,133,200
ANDAMARCA,consulta externa,personas de 21 a 59 anos,2013-01-01,109,102,5,2,114,104,218
ANTEQUERA,consulta externa,personas de 21 a 59 anos,2013-01-01,15,24,2,0,17,24,41
ANZALDO,consulta externa,personas de 21 a 59 anos,2013-01-01,84,80,4,14,88,94,182
APOLO,consulta externa,personas de 21 a 59 anos,2013-01-01,175,143,138,12,313,155,468
ARAMPAMPA,consulta externa,personas de 21 a 59 anos,2013-01-01,29,82,2,1,31,83,114
ARANI,consulta externa,personas de 21 a 59 anos,2013-01-01,44,142,7,16,51,158,209
ARBIETO,consulta externa,personas de 21 a 59 anos,2013-01-01,76,147,7,11,83,158,241
ARQUE,consulta externa,personas de 21 a 59 anos,2013-01-01,78,225,2,12,80,237,317
ASCENCION DE GUARAYOS,consulta externa,personas de 21 a 59 anos,2013-01-01,42,164,0,0,42,164,206
ATOCHA,consulta externa,personas de 21 a 59 anos,2013-01-01,761,795,226,210,987,1005,1992
AUCAPATA,consulta externa,personas de 21 a 59 anos,2013-01-01,110,90,1,1,111,91,202
AYATA,consulta externa,personas de 21 a 59 anos,2013-01-01,71,143,9,4,80,147,227
AYO AYO,consulta externa,personas de 21 a 59 anos,2013-01-01,79,101,1,1,80,102,182
