,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2013-01-01,20,43,0,2,20,45,65
ACHACACHI,consulta externa,personas de 60 anos y mas,2013-01-01,316,334,99,125,415,459,874
ACHOCALLA,consulta externa,personas de 60 anos y mas,2013-01-01,23,34,1,0,24,34,58
AIQUILE,consulta externa,personas de 60 anos y mas,2013-01-01,117,131,65,58,182,189,371
ALALAY,consulta externa,personas de 60 anos y mas,2013-01-01,8,8,0,0,8,8,16
ALCALA,consulta externa,personas de 60 anos y mas,2013-01-01,46,82,4,2,50,84,134
ALTO BENI,consulta externa,personas de 60 anos y mas,2013-01-01,113,61,20,9,133,70,203
ANCORAIMES,consulta externa,personas de 60 anos y mas,2013-01-01,107,107,26,38,133,145,278
ANDAMARCA,consulta externa,personas de 60 anos y mas,2013-01-01,48,56,4,4,52,60,112
ANTEQUERA,consulta externa,personas de 60 anos y mas,2013-01-01,17,28,0,2,17,30,47
ANZALDO,consulta externa,personas de 60 anos y mas,2013-01-01,49,67,25,35,74,102,176
APOLO,consulta externa,personas de 60 anos y mas,2013-01-01,89,46,78,25,167,71,238
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2013-01-01,11,26,2,1,13,27,40
ARANI,consulta externa,personas de 60 anos y mas,2013-01-01,41,61,6,12,47,73,120
ARBIETO,consulta externa,personas de 60 anos y mas,2013-01-01,27,69,12,22,39,91,130
ARQUE,consulta externa,personas de 60 anos y mas,2013-01-01,19,28,0,1,19,29,48
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2013-01-01,72,54,0,0,72,54,126
ATOCHA,consulta externa,personas de 60 anos y mas,2013-01-01,108,129,27,32,135,161,296
AUCAPATA,consulta externa,personas de 60 anos y mas,2013-01-01,52,46,2,1,54,47,101
AYATA,consulta externa,personas de 60 anos y mas,2013-01-01,68,117,6,6,74,123,197
AYO AYO,consulta externa,personas de 60 anos y mas,2013-01-01,83,82,17,19,100,101,201
