,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2013-01-01,7,18,3,2,10,20,30
ACHACACHI,consulta externa,personas de 5 a 9 anos,2013-01-01,26,27,3,2,29,29,58
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2013-01-01,14,14,0,0,14,14,28
AIQUILE,consulta externa,personas de 5 a 9 anos,2013-01-01,47,43,3,6,50,49,99
ALALAY,consulta externa,personas de 5 a 9 anos,2013-01-01,3,2,0,0,3,2,5
ALCALA,consulta externa,personas de 5 a 9 anos,2013-01-01,13,13,0,0,13,13,26
ALTO BENI,consulta externa,personas de 5 a 9 anos,2013-01-01,33,35,0,0,33,35,68
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2013-01-01,9,8,1,0,10,8,18
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2013-01-01,13,9,0,0,13,9,22
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2013-01-01,6,16,0,1,6,17,23
ANZALDO,consulta externa,personas de 5 a 9 anos,2013-01-01,6,9,2,0,8,9,17
APOLO,consulta externa,personas de 5 a 9 anos,2013-01-01,25,27,1,0,26,27,53
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2013-01-01,1,3,0,0,1,3,4
ARANI,consulta externa,personas de 5 a 9 anos,2013-01-01,44,35,5,5,49,40,89
ARBIETO,consulta externa,personas de 5 a 9 anos,2013-01-01,17,16,1,0,18,16,34
ARQUE,consulta externa,personas de 5 a 9 anos,2013-01-01,19,12,0,0,19,12,31
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2013-01-01,24,19,0,0,24,19,43
ATOCHA,consulta externa,personas de 5 a 9 anos,2013-01-01,164,201,56,63,220,264,484
AUCAPATA,consulta externa,personas de 5 a 9 anos,2013-01-01,17,14,0,0,17,14,31
AYATA,consulta externa,personas de 5 a 9 anos,2013-01-01,10,9,2,1,12,10,22
AYO AYO,consulta externa,personas de 5 a 9 anos,2013-01-01,10,6,0,0,10,6,16
