,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVO,PERSONAS DE 10 A 20 AÑOS NUEVO,PERSONAS DE 10 A 20 AÑOS REPETIDO,PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 20 anos,2013-01-01,16,37,0,2,16,39,55
ACHACACHI,consulta externa,personas de 10 a 20 anos,2013-01-01,68,92,14,5,82,97,179
ACHOCALLA,consulta externa,personas de 10 a 20 anos,2013-01-01,18,35,0,1,18,36,54
AIQUILE,consulta externa,personas de 10 a 20 anos,2013-01-01,86,122,14,15,100,137,237
ALALAY,consulta externa,personas de 10 a 20 anos,2013-01-01,6,10,0,0,6,10,16
ALCALA,consulta externa,personas de 10 a 20 anos,2013-01-01,36,57,1,1,37,58,95
ALTO BENI,consulta externa,personas de 10 a 20 anos,2013-01-01,81,96,4,10,85,106,191
ANCORAIMES,consulta externa,personas de 10 a 20 anos,2013-01-01,24,28,0,3,24,31,55
ANDAMARCA,consulta externa,personas de 10 a 20 anos,2013-01-01,33,25,0,0,33,25,58
ANTEQUERA,consulta externa,personas de 10 a 20 anos,2013-01-01,12,9,0,0,12,9,21
ANZALDO,consulta externa,personas de 10 a 20 anos,2013-01-01,14,20,0,5,14,25,39
APOLO,consulta externa,personas de 10 a 20 anos,2013-01-01,40,95,0,8,40,103,143
ARAMPAMPA,consulta externa,personas de 10 a 20 anos,2013-01-01,2,14,0,0,2,14,16
ARANI,consulta externa,personas de 10 a 20 anos,2013-01-01,59,50,7,1,66,51,117
ARBIETO,consulta externa,personas de 10 a 20 anos,2013-01-01,38,53,3,3,41,56,97
ARQUE,consulta externa,personas de 10 a 20 anos,2013-01-01,25,54,2,1,27,55,82
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 20 anos,2013-01-01,32,56,0,0,32,56,88
ATOCHA,consulta externa,personas de 10 a 20 anos,2013-01-01,262,350,91,114,353,464,817
AUCAPATA,consulta externa,personas de 10 a 20 anos,2013-01-01,12,23,0,0,12,23,35
AYATA,consulta externa,personas de 10 a 20 anos,2013-01-01,24,30,0,2,24,32,56
AYO AYO,consulta externa,personas de 10 a 20 anos,2013-01-01,22,33,1,0,23,33,56
