,group,variable,month,AQV FEMENINO < 15,AQV FEMENINO 15 - 19,AQV FEMENINO 20 - 34,AQV FEMENINO 35 - 49,AQV FEMENINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,3,1,0,4
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,0,1,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,2,1,0,3
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,8,2,0,10
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,2,9,7,0,18
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,47,25,0,72
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,0,1,0,1
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,5,0,0,5
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,15,10,1,26
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,2,1,0,3
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,1,5,2,0,8
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,2,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,13,3,0,16
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,3,0,0,3
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,0,1,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,2,2,0,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,1,5,6,0,12
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,1,1,0,2
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,1,2,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,4,1,0,5
