,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-01-01,0,0,2,2,0,4
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-01-01,0,0,3,0,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-01-01,0,0,7,4,2,13
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-01-01,0,0,14,0,0,14
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-01-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-01-01,0,0,1,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-02-01,0,0,3,1,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-02-01,0,0,1,3,1,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-02-01,0,0,3,6,0,9
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-02-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-03-01,0,0,5,5,0,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-03-01,0,0,2,1,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-03-01,0,0,2,7,0,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-03-01,0,0,0,1,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-03-01,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-03-01,0,0,0,0,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-04-01,0,0,7,3,0,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-04-01,0,0,2,2,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-04-01,0,0,8,0,0,8
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-04-01,0,0,2,0,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2018-04-01,0,0,1,2,0,3
