,group,variable,month,CONDÓN FEMENINO: USUARIAS NUEVAS < 15,CONDÓN FEMENINO: USUARIAS NUEVAS 15 - 19,CONDÓN FEMENINO: USUARIAS NUEVAS 20 - 34,CONDÓN FEMENINO: USUARIAS NUEVAS 35 - 49,CONDÓN FEMENINO: USUARIAS NUEVAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,1,0,0,1
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,1,0,0,1
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,2,1,0,3
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,2,0,0,2
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,5,1,0,6
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,3,14,3,0,20
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,12,7,3,0,22
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,1,1,0,2
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,4,4,0,8
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,1,0,0,0,1
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,5,0,0,5
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,1,0,0,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,1,0,0,0,1
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,2,0,0,2
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2018-01-01,0,0,1,0,0,1
