,group,variable,month,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) < 15,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 15 - 19,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 20 - 34,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 35 - 49,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,2,0,0,2
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,2,0,0,2
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,7,1,0,8
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,2,0,0,0,2
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,1,0,0,1
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,1,0,0,1
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,1,0,1,2
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,1,0,0,1
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,1,1,0,0,2
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,0,2,0,2
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,0,1,0,1
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,1,6,1,0,8
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,2,7,2,0,11
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,4,0,0,4
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,1,1,0,2
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,1,1,0,0,2
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2018-01-01,0,0,1,0,0,1
