,group,variable,month,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS < 15,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 15 - 19,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 20 - 34,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 35 - 49,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,1,8,4,0,13
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,4,42,30,0,76
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,1,36,23,1,61
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,1,17,18,0,36
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,0,5,0,0,5
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,0,11,15,0,26
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,1,22,18,0,41
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,0,16,14,0,30
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,0,1,5,0,6
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,0,3,1,0,4
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,2,24,9,0,35
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,1,27,28,0,56
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,1,5,5,0,11
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,2,7,3,0,12
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,0,2,0,0,2
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,3,8,6,0,17
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,1,31,11,2,45
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2018-01-01,0,1,4,6,1,12
