municipality,group,variable,month,Muestras tomadas por agente comunario,TOTAL
BAURES,malaria,muestras tomadas por agente comunario,2005-01-01,58,58
CARAPARI,malaria,muestras tomadas por agente comunario,2005-01-01,57,57
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-01-01,17,17
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-01-01,165,165
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-01-01,7,7
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2005-01-01,7,7
VILA VILA,malaria,muestras tomadas por agente comunario,2005-01-01,2,2
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-01-01,33,33
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-01-01,12,12
BAURES,malaria,muestras tomadas por agente comunario,2005-02-01,46,46
CARAPARI,malaria,muestras tomadas por agente comunario,2005-02-01,39,39
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-02-01,40,40
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-02-01,4,4
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-02-01,167,167
MAPIRI,malaria,muestras tomadas por agente comunario,2005-02-01,5,5
MIZQUE,malaria,muestras tomadas por agente comunario,2005-02-01,1,1
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-02-01,8,8
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2005-02-01,6,6
VILA VILA,malaria,muestras tomadas por agente comunario,2005-02-01,1,1
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-02-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-02-01,11,11
BAURES,malaria,muestras tomadas por agente comunario,2005-03-01,35,35
CARAPARI,malaria,muestras tomadas por agente comunario,2005-03-01,61,61
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-03-01,38,38
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-03-01,23,23
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-03-01,143,143
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-03-01,11,11
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-03-01,41,41
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-03-01,5,5
BAURES,malaria,muestras tomadas por agente comunario,2005-04-01,98,98
BERMEJO,malaria,muestras tomadas por agente comunario,2005-04-01,5,5
CARANAVI,malaria,muestras tomadas por agente comunario,2005-04-01,1,1
CARAPARI,malaria,muestras tomadas por agente comunario,2005-04-01,17,17
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-04-01,23,23
GUANAY,malaria,muestras tomadas por agente comunario,2005-04-01,4,4
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-04-01,4,4
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-04-01,7,7
LA ASUNTA,malaria,muestras tomadas por agente comunario,2005-04-01,103,103
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-04-01,172,172
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-04-01,26,26
PASORAPA,malaria,muestras tomadas por agente comunario,2005-04-01,1,1
TOMINA,malaria,muestras tomadas por agente comunario,2005-04-01,7,7
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-04-01,29,29
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-04-01,7,7
BAURES,malaria,muestras tomadas por agente comunario,2005-05-01,74,74
