municipality,group,variable,month,Tratamientos iniciados en el mes por agente comun,TOTAL
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-01-01,7,7
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-01-01,34,34
MAGDALENA,malaria,tratamientos iniciados en el mes por agente comun,2005-01-01,3,3
PUERTO SILES,malaria,tratamientos iniciados en el mes por agente comun,2005-01-01,2,2
SAN JOAQUIN,malaria,tratamientos iniciados en el mes por agente comun,2005-01-01,1,1
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2005-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2005-01-01,7,7
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-02-01,4,4
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-02-01,22,22
COTAGAITA,malaria,tratamientos iniciados en el mes por agente comun,2005-02-01,6,6
MIZQUE,malaria,tratamientos iniciados en el mes por agente comun,2005-02-01,1,1
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2005-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2005-02-01,5,5
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-03-01,4,4
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-03-01,32,32
TARIJA,malaria,tratamientos iniciados en el mes por agente comun,2005-03-01,3,3
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-04-01,12,12
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-04-01,10,10
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2005-04-01,2,2
MAGDALENA,malaria,tratamientos iniciados en el mes por agente comun,2005-04-01,3,3
REYES,malaria,tratamientos iniciados en el mes por agente comun,2005-04-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2005-04-01,3,3
YACUIBA,malaria,tratamientos iniciados en el mes por agente comun,2005-04-01,2,2
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-05-01,10,10
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2005-05-01,1,1
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-05-01,12,12
HUACARETA,malaria,tratamientos iniciados en el mes por agente comun,2005-05-01,1,1
MAGDALENA,malaria,tratamientos iniciados en el mes por agente comun,2005-05-01,1,1
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2005-05-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2005-05-01,4,4
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-06-01,20,20
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-06-01,10,10
CULPINA,malaria,tratamientos iniciados en el mes por agente comun,2005-06-01,5,5
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2005-06-01,1,1
MAGDALENA,malaria,tratamientos iniciados en el mes por agente comun,2005-06-01,6,6
