municipality,group,variable,month,Muestras tomadas por personal de salud,TOTAL
AZURDUY,malaria,muestras tomadas por personal de salud,2005-01-01,5,5
BAURES,malaria,muestras tomadas por personal de salud,2005-01-01,38,38
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-01-01,45,45
BOLPEBRA,malaria,muestras tomadas por personal de salud,2005-01-01,5,5
CARANAVI,malaria,muestras tomadas por personal de salud,2005-01-01,176,176
CARAPARI,malaria,muestras tomadas por personal de salud,2005-01-01,363,363
CHIMORE,malaria,muestras tomadas por personal de salud,2005-01-01,1,1
COBIJA,malaria,muestras tomadas por personal de salud,2005-01-01,276,276
EL TORNO,malaria,muestras tomadas por personal de salud,2005-01-01,12,12
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-01-01,107,107
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-01-01,1,1
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-01-01,20,20
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-01-01,5,5
GUANAY,malaria,muestras tomadas por personal de salud,2005-01-01,116,116
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-01-01,2215,2215
INGAVI (HUMAITA),malaria,muestras tomadas por personal de salud,2005-01-01,28,28
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-01-01,3,3
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-01-01,69,69
MAPIRI,malaria,muestras tomadas por personal de salud,2005-01-01,269,269
MIZQUE,malaria,muestras tomadas por personal de salud,2005-01-01,9,9
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-01-01,146,146
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-01-01,35,35
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por personal de salud,2005-01-01,193,193
OMEREQUE,malaria,muestras tomadas por personal de salud,2005-01-01,5,5
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-01-01,58,58
PORONGO,malaria,muestras tomadas por personal de salud,2005-01-01,14,14
PORVENIR,malaria,muestras tomadas por personal de salud,2005-01-01,56,56
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-01-01,67,67
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-01-01,259,259
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-01-01,4728,4728
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-01-01,211,211
SAN PEDRO(PND),malaria,muestras tomadas por personal de salud,2005-01-01,24,24
SENA,malaria,muestras tomadas por personal de salud,2005-01-01,981,981
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-01-01,5,5
TARABUCO,malaria,muestras tomadas por personal de salud,2005-01-01,1,1
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-01-01,51,51
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-01-01,412,412
