municipality,group,variable,month,Tratamientos iniciados en el mes por personal de,TOTAL
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,4,4
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,7,7
BAURES,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,7,7
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,237,237
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,14,14
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,18,18
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,17,17
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,96,96
CHIMORE,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
COBIJA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,17,17
COLQUECHACA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
COMARAPA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
EL PUENTE(TJA),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,3,3
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,12,12
EL VILLAR,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,4,4
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,17,17
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,3,3
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,7,7
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,167,167
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,6,6
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,5,5
LA ASUNTA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,7,7
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,3,3
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,6,6
MACHARETI,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,3,3
